ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 047-01 to 047-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
99697,99704,99714,99716,99720,99721,99722,99723,99724
99725,99726,99727,99729,99730,99732,99733,99734,99736
99737,99738,99739,99740,99741,99742,99743,99744,99745
99746,99747,99748,99749,99750,99751,99752,99753,99754
99755,99756,99757,99758,99759,99760,99761,99762,99763
99764,99765,99766,99767,99768,99769,99770,99771,99772
99773,99774,99776,99777,99778,99779,99780,99781,99782
99783,99784,99785,99786,99788,99789,99790,99791,99801
99802,99803,99811,99820,99821,99824,99825,99826,99827
99829,99830,99832,99833,99835,99836,99840,99841,99850
99901,99903,99918,99919,99921,99922,99923,99925,99926
99927,99928,99929,99950,,,,,
